Sample;Mammalia;Dipnotetrapodomorpha;Insecta;Actinopteri;Aves;Malacostraca;Lepidosauria;Chondrichthyes;Amphibia;Arachnida;Cladistia;Thermoanaerobaculia;Zetaproteobacteria;Oligoflexia;Gammaproteobacteria;Alphaproteobacteria;Synergistia;Nitrospira;Chrysiogenetes;Deferribacteres;Acidobacteriia;Hydrogenophilalia;Holophagae;Betaproteobacteria;Acidithiobacillia;Coprothermobacteria;Aquificae;Fusobacteriia;Vicinamibacteria;Thermodesulfovibrionia;Thermotogae;Spirochaetia;Thermodesulfobacteria;Blastocatellia;Endomicrobia;Thermoplasmata;Elusimicrobia;Calditrichia;Thermococci;Dictyoglomia;Calditrichae;Methanonatronarchaeia;Dehalococcoidia;Faserviricetes;Phycisphaerae;Thermolithobacteria;Actinomycetia;Epsilonproteobacteria;Caudoviricetes;Coriobacteriia;Planctomycetia;Chthonomonadetes;Nitriliruptoria;Chitinivibrionia;Ktedonobacteria;Thermoleophilia;Acidimicrobiia;Chitinispirillia;Lentisphaeria;Deinococci;Duplopiviricetes;Tissierellia;Revtraviricetes;Limnochordia;Bacilli;Verrucomicrobiae;Fibrobacteria;Chlamydiia;Terrimicrobia;Methanobacteria;Megaviricetes;Kiritimatiellae;Pisoniviricetes;Mollicutes;Deltaproteobacteria;Anaerolineae;Chloroflexia;Thermoprotei;Malgrandaviricetes;Erysipelotrichia;Clostridia;Ardenticatenia;Negativicutes;Halobacteria;Rubrobacteria;Methanomicrobia;Arfiviricetes;Gemmatimonadetes;Nitrospinia;Longimicrobia;Thermomicrobia;Opitutae;Caldilineae;Herviviricetes;Tectiliviricetes;Tichowtungiia;Armatimonadia;Bigyra;Papovaviricetes;Spartobacteria;Quintoviricetes;Desulfuribacillia;Tolucaviricetes;Fimbriimonadia;Pokkesviricetes;Tokiviricetes;Caldisericia;Repensiviricetes;Eumycetozoa;Candidatus Thermofonsia;Culicoidibacteria;Chrymotiviricetes;Methanococci;Vidaverviricetes;Flasuviricetes;Oligosphaeria;Thermoflexia;Tepidiformia;Candidatus Cryosericia;Balneolia;Cytophagia;Candidatus Nanoperiomorbia;Flavobacteriia;Saprospiria;Chlorobia;Sphingobacteriia;Bacteroidia;Rhodothermia;Ignavibacteria;Candidatus Saccharimonadia;Chitinophagia;Gloeobacteria;Candidatus Saccharimonia;Candidatus Nanosyncoccalia;Ellioviricetes;Aconoidasida;Demospongiae;Chlorophyceae;Hydrozoa;Oligohymenophorea
SRR15595321;24114463;24305444;0;0;0;0;0;0;0;0;0;0;0;0;19966;143;0;0;0;0;0;0;0;298;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4532;22;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12822;0;0;0;0;0;0;0;0;0;0;0;0;104;0;1;905;0;0;0;0;17;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;942;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595249;448;452;0;0;0;0;0;0;0;0;0;1;0;1;99869;1158;98;0;0;1;8;0;0;2097;1;1;0;107;4;0;30;62;0;8;0;0;0;0;0;0;1;0;1;0;0;0;1614432;105;159;446131;12;0;4;0;2;1;3;0;459;90;0;95;0;10;204947;96206;17;0;0;31;0;0;0;12;2461;9;2;69;5;96423;2422770;0;279212;0;6;73;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;52;0;0;15;1659922;3;3;0;45;0;6;0;0;0;0;0;0;0
SRR22402358;4036;0;0;0;0;5;0;0;0;0;0;0;0;0;199839;210;81;0;0;0;2;0;1;151199;0;0;1;202;0;0;14;6;0;2;0;0;0;0;0;0;0;0;0;373;0;0;70637;314;129104;116718;0;2;0;0;0;0;0;0;0;4;0;352;0;0;8918;0;6;0;0;0;0;0;0;2;10;3;0;0;5;23429;5847634;0;367635;4;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;0;45;0;3;4;14468755;0;12;18;1;0;0;0;0;0;0;0;0;0
SRR22402261;13607;0;0;7;1;4;0;0;0;0;0;0;0;0;48854;21897;102376;0;0;1;9;0;0;2824;0;0;9;82;1;0;15;465;0;3;1;0;0;0;0;0;0;0;0;2537;6;0;4806;206;467346;84085;12;5;0;0;10;0;1;0;71428;49;5;1224;0;10;9844;618380;14;0;0;0;0;0;0;17;579;19;0;0;4054;31514;9140493;0;270812;23;10;0;17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287;0;79;0;0;14;16997844;0;0;48;37;0;0;0;0;0;0;0;0;0
SRR22402276;8344;0;5;3;6;0;2;0;0;0;0;0;2;5;30382;1660;298;0;0;3;25;1;0;1044221;5;2;2;2444;0;0;318;347;0;2;0;0;0;0;0;0;0;0;9;4500;0;0;1376085;988;1538490;908072;7;0;0;0;3;0;1;0;0;52;0;8422;0;1;266349;1184;11;1;0;0;0;0;0;121;13822;0;0;0;306;426105;48829995;0;1141840;56;3;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;219;0;862;5;2;158;93282565;0;0;159;113;0;0;0;0;1;0;0;0;0
SRR22402269;18877;0;6;0;17;17;0;0;0;0;0;0;16;0;96816;2590;221;0;0;26;2;0;0;292364;3;1;0;1068;0;0;47;413;1;3;0;0;0;0;0;0;0;0;0;11155;15;0;1621460;958;750640;366703;3;1;4;0;0;0;0;0;94025;192;20;5732;0;2;84614;1580;73;0;0;5056;0;0;0;301;111944;97;0;0;342;67106;13907916;0;950148;31;1;0;0;0;0;2;0;0;9;0;0;0;0;0;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;225;0;0;9;18567614;0;0;892;434;0;0;43;0;0;0;0;0;0
SRR15595311;24066;24262;0;3;0;0;0;0;0;0;0;0;0;0;383477;214;6;0;0;0;0;0;1;4670;0;0;1;18;0;0;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1033860;151;833;512584;0;0;0;0;0;0;0;0;0;9;0;431;0;1;37345;96;4;1;0;2628;0;0;0;20;18;1;0;54;81;478945;1802411;0;173139;3;1;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;52;0;0;0;540251;0;0;0;48;0;269;0;0;0;0;0;0;0
SRR15595256;20532606;20674472;0;0;0;0;0;0;0;0;0;0;0;0;21259;239;0;0;0;0;0;0;0;194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3786;11;0;92;7;0;0;0;0;0;0;0;0;0;0;0;2;0;9596;6;0;0;0;0;0;0;0;0;0;0;0;139;0;6;1037;0;21;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402370;16981;0;0;0;0;0;0;0;0;0;0;0;0;1;676402;3447;17834;0;0;0;84;0;5;183717;0;0;12;31;0;0;16;80;0;3;3;0;0;0;0;0;0;0;0;16631;0;0;13923;30;430983;139753;6;3;3;0;0;23;14;0;9;77;8;128;0;4;652808;512971;14;1;0;0;3;0;0;5;196890;4;0;0;428;43777;11432247;1;38078;146;1;0;0;0;0;8;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;162;0;49;1;15;31;12397760;0;0;397;6;0;0;0;0;0;0;0;0;0
SRR15595269;4653;4699;0;0;9;3;0;0;0;0;0;0;0;1;36737;183;2;0;3;6;2;0;2;626;0;1;1;179;0;0;10;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4849033;75;86;474150;2;2;0;0;1;0;2;0;0;13;0;531;0;1;114862;370;1;0;0;59;0;0;0;9;2683;0;0;90;79;127522;4338287;1;355229;27;1;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;29;10;0;0;0;487030;0;0;0;5;0;169;0;0;0;0;0;0;0
SRR22402364;15787;0;97;0;0;0;0;0;0;0;0;0;0;0;38927;5873;2486;0;5;0;3;0;17;139104;5;0;9;1087;0;0;41;416;0;7;0;0;87;0;0;0;0;0;1;4145;0;0;82475;1150;547950;298143;14;0;9;0;0;1;16;0;70598;254;6;2871;0;9;24732;1482682;42;2;0;33;1;0;0;1000;67559;1;0;0;399;118021;12020772;0;328486;12;3;0;0;0;0;0;0;27;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;0;696;0;2;6;21287155;4;10;208;299;0;0;8;0;0;0;0;0;0
SRR15595246;2064;2085;0;6;0;0;0;0;0;0;0;0;3;0;62524;3041;492;0;0;0;27;0;0;4426;0;2;2;62;0;0;41;108;1;0;1;0;0;0;0;0;0;0;5;11;0;0;876443;423;5340;413734;31;0;10;0;8;5;3;0;27;113;0;216;0;11;29810;611;12;13;0;8;0;0;0;59;64074;4;0;466;0;44405;5680827;0;479544;80;14;530;0;9;0;8;0;2;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;256;2;3;340;2688669;3;4;0;65;0;93;0;1;0;0;0;0;0
SRR22402346;4293;0;0;0;7;32;0;0;0;0;0;0;5;0;3476;4115;71;0;7;0;16;2;0;175745;0;0;13;3847;0;0;51;54;0;2;0;0;0;0;0;0;0;0;11;830;2;0;49081;2423;525769;65809;1;0;4;0;1;0;2;0;19958;57;4;134;0;0;12785;25429;62;1;3;0;2;0;0;13;42854;20;0;0;2750;60870;8635138;0;277399;8;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311;0;201;0;2;11;19051995;0;0;43;1162;0;0;0;0;0;0;0;0;0
SRR22402298;1497524;0;0;37;0;0;0;0;0;0;0;1;1;0;13771;2986;154;2;0;16;20;2;1;314944;13;0;13;5746;19;0;35;254;24;7;1;185;1;0;0;0;0;0;1;9604;1;0;1947864;972;581635;203660;21;0;17;0;7;0;7;0;92725;128;3;1504;0;9;44021;641;29;0;0;15738;0;7;3;137;32764;11;3;0;2770;42655;11308746;0;183353;87;5;0;0;11;0;11;0;1;6;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1193;0;1036;0;1;306;18393650;1;0;323;271;0;0;0;0;0;0;0;0;0
SRR22402270;12369;0;6;4;0;0;0;0;0;0;0;0;0;3;31886;10428;210;0;8;3;25;0;5;278430;5;0;58;128;0;0;78;215;27;19;0;0;0;0;0;0;0;0;12;7767;15;0;10253;322;683049;112327;17;3;2;0;0;2;138;0;101793;217;8;500;0;6;86204;320;113;6;0;0;0;1;0;60;79799;18;6;1;199;55926;9920159;0;159926;327;7;0;0;163;0;19;0;8;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;390;4;392;0;0;51;16756139;4;2;15;71;0;0;0;0;0;0;0;0;0
SRR22402296;38537;0;4;77;0;0;0;0;0;0;0;0;2;18;50838;6089;471;0;6;55;44;1;10;967602;5;0;34;296;0;0;72;154;0;13;0;2;0;0;0;0;0;0;1;17034;11;0;50245;249;671362;193204;12;2;45;0;9;0;31;0;37131;166;4;378;0;4;29124;28048;64;0;0;6063;2;0;1;53;57405;24;2;0;1659;90284;13676805;1;880981;83;10;0;0;12;0;13;0;7;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;637;0;2488;5;5;1028;33329132;1;0;148;68;0;0;0;0;0;0;0;0;0
SRR22402302;8774;0;4;1;0;0;0;0;0;0;0;0;0;0;366332;207;25;0;0;0;0;2;0;894900;0;1;2;282;0;0;14;26;0;0;0;0;0;0;0;0;0;0;0;4375;0;0;251893;59274;3052604;157115;0;0;0;0;0;0;0;0;7;15;0;640;0;0;38669;1587;0;1;0;0;0;0;0;2;64;1;0;0;505;68545;8613366;0;829662;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;3;86;0;0;4;42832329;0;0;132;40419;0;0;0;0;0;0;0;0;0
SRR22402288;34821;0;0;0;10;0;0;0;0;2;0;2;0;0;205671;14730;279;0;30;0;5;5;2;717083;192;1;93;193;0;0;181;364;6;17;0;1;0;0;0;0;0;0;81;11866;23;0;833589;577;700905;77694;3;1;47;0;1;1;4;0;0;216;3;793;0;0;195915;317526;262;0;0;0;32;1;0;126;217110;7;0;0;245;43794;11871433;0;286106;32;11;0;0;0;1;15;0;6;48;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;88;0;524;0;5;40;16919764;0;0;182;99;1;0;0;0;0;0;0;0;0
SRR22402284;79597;0;4;0;0;0;0;0;0;0;0;0;0;0;6833;5209;35;0;0;0;3;1;0;784111;19;0;5;60;2;0;24;125;0;0;0;0;0;0;0;0;0;0;1;1380;0;0;939884;328;336866;67601;0;0;5;0;0;0;1;0;643;33;0;61;0;0;19816;1596;12;1;0;4;0;0;0;18;83072;0;0;0;1154;101764;7026703;0;196840;2;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;581;0;179;2;0;29;20692160;1;0;255;158;6;0;0;0;0;0;0;0;0
SRR22402382;97225;0;0;0;0;0;1;0;0;0;1;3;14;0;1088319;6372;72123;5;0;1;7;14;86;19762;2;2;1;64;0;0;70;103;108;25;1;889;0;0;0;0;0;0;0;30707;2;1;18710;286;877932;207195;58;1;0;0;46;2;61;0;64726;159;22;35037;0;2;30549;521;67;0;0;556678;0;8;0;219;1070;36;2;0;490;301246;10618448;0;46599;344;21;46;0;6;0;31;0;61;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;787;1;905;6;1;138;9261344;1;0;0;96;0;0;0;0;0;0;0;0;0
SRR15595271;1207;1218;0;2;0;0;0;0;0;0;0;0;0;1;31964;947;33;0;0;0;16;2;0;2098;2;2;0;7;11;0;11;33;1;2;0;0;0;0;0;0;0;0;2;0;3;0;5429357;436;220;576794;9;2;20;0;2;1;3;0;0;60;0;223;0;0;93131;38856;4;0;0;72;0;0;0;8;4003;0;1;34;1;49345;5576795;0;11395;0;19;66;0;1;1;1;0;2;2;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;30;0;27;0;0;52;1968098;3;0;0;3;0;25;0;0;0;0;0;0;0
SRR22402329;9103;0;0;0;0;0;0;0;0;0;0;0;0;0;234394;1791;1904;0;0;0;17;0;0;216221;4;0;2;215;0;0;12;55;0;0;0;0;0;0;0;0;0;0;4;9208;2;0;23344;221;220850;65476;1;0;0;0;0;0;0;0;48;26;4;761;0;4;62000;57;7;0;0;446;0;0;3;5;146983;0;0;0;78;65001;5646307;0;156973;38;3;0;0;0;2;0;0;4;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;267;0;213;5;1;3;9695829;0;2;310;7;0;0;0;0;0;0;0;0;1
SRR15595247;7327582;7392565;0;0;0;0;0;0;0;0;0;0;0;0;8088;31;0;0;0;0;0;0;0;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1798;8;0;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4274;0;0;0;0;0;0;0;0;0;0;0;0;36;0;38;603;0;74;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402348;4512;0;0;1;0;0;0;0;0;0;0;0;0;0;58619;2704;8;0;0;0;1;0;1;269382;0;0;2;133;0;1;4;41;0;0;0;0;0;0;0;0;0;0;0;4119;12;0;933941;91;308334;167228;1;0;0;0;0;1;1;0;5674;5;1;168;0;0;26940;592282;1;0;0;0;1;0;0;10;51061;1;0;0;121;218153;7224910;0;160876;6;4;0;0;1;0;12;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;106;0;0;11;22018386;0;48;51;21;0;0;0;0;0;0;0;0;0
SRR22402283;135612;0;5;2;15;0;0;0;0;0;0;0;0;0;147055;929;5;0;0;7;2;0;0;615795;1;0;0;428;0;0;48;32;0;1;0;0;0;0;0;0;0;0;2;5115;0;0;684724;47619;1126427;281398;4;2;0;0;0;0;2;0;1;14;0;920;0;0;62779;3038;5;0;0;0;0;0;0;12;171917;1;0;0;3841;31546;20838784;0;562527;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;185;0;0;5;28467452;0;0;106;36784;0;0;0;0;0;0;0;0;0
SRR15595342;7645441;7715312;0;0;0;0;0;0;0;0;0;0;0;0;8405;14;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2063;0;0;123;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2934;0;0;2;0;0;0;0;0;0;0;0;0;94;0;8;1410;0;4;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1360;0;0;0;196;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595289;24892;25164;0;0;0;0;0;0;0;0;0;0;0;0;17601;473;66;0;0;0;1;0;0;756;0;2;1;5;0;0;6;11;2;4;0;0;0;0;0;0;0;0;0;0;1;0;1344936;14;185;494570;1;0;0;0;0;1;2;0;0;18;0;416;0;0;42624;4343;1;0;1;857;0;1;0;14;607;2;0;59;37;218612;3182348;0;331001;0;0;0;2;0;0;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;52;44;0;0;10;1498797;0;0;0;13;0;882;0;0;0;0;0;0;0
SRR22402278;158475;0;148;0;18;0;0;0;0;0;0;0;0;5;112953;18987;28571;16;0;53;221;34;20;317743;16;0;49;1074;78;0;206;607;22;12;0;833;0;0;0;0;0;0;18;11706;7;0;815677;7452;721659;747955;108;4;10;1;55;114;109;0;169739;1185;5;4388;0;0;25145;686349;363;15;1;64719;1;7;8;467;170296;131;6;0;3122;37567;10061454;7;504408;349;22;51;165;61;1;22;0;193;19;0;94;0;76;141913;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2481;0;1610;130;91;127;8102325;0;1;445;583;3;0;10;0;0;0;0;0;0
SRR22402265;381913;0;0;0;0;0;0;0;0;0;0;8;0;0;23820;8777;7519;5;0;0;8;0;9;305467;6;0;14;3998;0;0;49;222;1;5;0;0;0;0;0;0;0;0;203;4171;0;0;232729;489;464384;64055;11;3;0;0;0;12;15;0;0;90;6;6380;1;2;31530;365241;14;0;4;37568;0;2;0;11;143309;46;0;0;2763;275767;5719734;0;161765;66;4;0;0;10;0;18;0;32;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115;0;825;0;2;43;16157009;2;1;10;32;0;0;0;0;0;0;0;0;0
SRR22402281;107754;0;0;0;12;0;0;0;0;0;0;0;0;15;122848;8609;371;4;6;4;8;5;12;97460;3;0;21;894;0;6;235;313;136;13;0;0;0;0;0;0;0;0;31;37166;0;0;18657;714;876284;88930;40;1;46;2;3;5;41;0;1258;437;27;906;0;127;195028;1073693;167;2;0;106185;1;0;1;804;137479;99;1;0;4261;164947;14237713;5;326677;131;8;6;216;64;0;25;0;5;98;0;0;0;2;326129;8;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;526;0;916;4;1;73;19081806;7;1;378;165;0;0;0;0;0;0;0;0;0
SRR15595324;20912187;21070098;0;0;0;0;0;0;0;0;0;0;0;0;26693;74;0;0;0;0;0;0;0;254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4680;28;0;11;14;0;0;0;0;0;0;0;0;0;0;0;3;0;12650;0;0;0;0;0;0;0;0;0;0;0;0;139;0;7;691;0;11;0;0;26;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402280;23285;0;0;8;13;0;0;0;0;0;0;2;2;1;48462;17000;330;1;15;11;105;1;39;288005;130;0;86;647;0;1;137;239;93;42;1;1;0;0;0;0;0;0;58;28481;21;1;729682;1790;1087771;272278;12;2;13;1;14;2;141;0;191984;353;11;652;0;20;295906;4275;257;5;0;63541;0;3;0;815;204338;48;4;0;2022;131571;16643183;3;270987;342;11;0;28;107;0;31;2;154;88;0;43;0;6;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1493;0;1213;5;9;349;26224142;0;1;532;764;0;0;12;0;0;0;0;0;0
SRR22402275;33058;0;0;0;2;8;0;0;0;0;0;0;0;0;52005;2857;140;0;0;0;1;0;11;207496;1;0;0;961;0;0;21;47;0;1;0;0;0;0;0;0;0;0;0;5991;2;0;985704;1733;1975557;192253;3;0;0;0;2;0;4;0;0;59;1;606;0;8;44446;315;2;4;0;0;3;0;0;18;68230;0;2;0;104;31976;8827312;1;527810;30;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;569;0;107;1;12;5;17561912;4;0;250;1948;0;0;0;0;0;0;0;0;0
SRR15595337;7840574;7903061;0;0;0;0;0;0;0;0;0;0;0;0;9514;21;0;0;0;0;0;0;0;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1864;6;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;260;0;37;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595251;6882301;6950978;0;0;0;0;0;0;0;0;0;0;0;0;7272;38;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1956;0;0;13;4;0;0;0;0;0;0;0;0;0;0;1;1;0;6172;0;0;0;0;0;0;0;0;0;0;0;0;34;0;1;611;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;670;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402285;37133;0;0;4;0;0;0;3;0;1;0;0;2;1;104080;4879;129;0;0;2;30;1;0;450893;16;0;6;106;0;0;37;508;20;18;0;0;0;0;0;0;0;0;11;9499;1;0;289881;460;920597;403003;9;5;16;0;1;0;5;0;7323;83;1;252;0;5;45072;9576;36;0;0;262;11;0;0;93;30265;12;0;0;3632;568438;13332903;2;160866;83;7;0;28;2;0;16;1;4;5;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;244;0;214;5;1;251;36780604;2;0;534;151;0;0;0;0;0;0;0;3;0
SRR15595352;6502527;6551686;0;0;0;0;0;0;0;0;0;0;0;0;5384;31;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1226;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;3287;1;0;0;0;0;0;0;0;0;0;0;0;24;0;0;529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;654;0;0;0;0;0;0;0;0;0;0;0;0;0
