Sample;Simiiformes;Aculeata;Serpentes;Pecora;Panagrolaimomorpha;Cicadomorpha;Cetacea;Muscomorpha;Culicomorpha;Talitrida;Parasitoida;Astacidea;Tarsiiformes;Neolepidoptera;Aphidomorpha;Bibionomorpha;Acrididea;Lemuriformes;Gekkota;Pentatomomorpha
SRR15595321;23897960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595249;316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402358;4005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402261;13496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402276;8166;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402269;18673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595311;23747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595256;20365809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402370;16795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595269;4535;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
SRR22402364;15617;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595246;1895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402346;4225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402298;1484137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402270;12012;0;0;169;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0
SRR22402296;38096;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
SRR22402302;8674;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0
SRR22402288;34289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402284;78965;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
SRR22402382;96412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
SRR15595271;1154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402329;9027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595247;7254693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402348;4464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402283;134493;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595342;7570033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595289;24467;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402278;157333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402265;379502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402281;106605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595324;20739283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402280;23065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402275;32866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595337;7765151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595251;6802886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402285;36586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595352;6443309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402254;33454;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
SRR22402347;8397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402277;58410;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402292;3889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402374;13175;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402377;153671;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402310;2254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402319;12640;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
SRR22402264;524258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402381;101932;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595279;3595;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402368;5056;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402369;65292;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
SRR15595345;8426441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402300;1598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595245;5806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402271;126103;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0
SRR22402353;28592;0;0;38;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595317;5553665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595293;30891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402356;14099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402332;77303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402295;14049;0;0;24;0;0;0;2;23;0;0;0;0;0;0;0;0;2;0;0
SRR15595303;173;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
SRR22402379;26768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402304;29564;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402350;9833;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402268;152658;0;0;303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402297;34831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402317;1928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595353;6602410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595257;462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595248;7541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595305;591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402349;3708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402273;196429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595329;4827940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402314;4783;0;0;11;0;0;0;15;0;0;3;0;0;0;0;0;0;0;0;0
SRR22402321;4535;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
SRR22402322;44482;0;0;492;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402259;57639;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595336;17237130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402352;12771;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595253;1685;0;0;0;0;0;0;173;0;2;0;0;0;0;0;0;0;0;0;0
SRR22402263;18970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402312;13258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402335;4905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402384;7840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402267;47503;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402293;29210;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595255;547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595335;14078598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402371;10535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402309;8352;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402344;84217;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402306;35943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595267;9881;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402367;17104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595347;6125699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595254;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595339;12669992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595277;418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402355;133515;0;0;0;0;1;1;0;0;0;0;0;6;0;0;0;0;0;0;0
SRR22402313;310519;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402365;6318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402342;1394;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402289;203569;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595315;18059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595295;1479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402343;128603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402320;4102;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595351;10148607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595244;640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402326;11073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402282;9463;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402303;189804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402354;14921;0;0;336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402380;154026;0;0;667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402378;3474622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402301;42328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402333;14713;1;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595259;38937;0;0;0;0;0;0;108;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402256;3711;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402272;1577141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402260;1529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402372;5336;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595332;13123583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595349;8554005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402324;2830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402279;2458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595273;33950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402286;76582;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595331;12471370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595291;5705818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595330;843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402383;1378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402262;246416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402316;148301;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402361;4945;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
SRR22402266;18471;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402331;891770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402311;49846;0;0;0;0;0;0;0;0;0;12;0;22;0;0;0;0;0;0;0
SRR15595343;15487548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595252;20970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595344;5261570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402337;33743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0
SRR15595346;8134630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595297;721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402376;6352;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402345;2214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402257;4260;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595326;6061274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402338;98941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595265;787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595309;211069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595281;64140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402307;47929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402318;13748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402323;25582;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595263;10236417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402299;4086;9;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402336;316068;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595338;7114493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402290;19165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595283;5927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402305;325989;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595350;1297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402341;219171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402255;10469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402359;289964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
SRR15595301;239;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402287;7410;0;2;27;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
SRR22402325;369146;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595250;13546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595285;2685;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
SRR22402258;3705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595348;5352400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402339;29977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402340;46965;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402375;2810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402385;1269278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402274;27106;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402330;377840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402327;12298;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
SRR15595340;10668501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402308;707993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402360;573263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595261;17054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595319;896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595313;437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595307;2120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595341;1227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402291;156990;0;0;0;0;0;0;722;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595333;13629630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595320;10919481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402315;1111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402363;632;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402328;108138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402366;21736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595323;7144435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595275;29130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402351;27829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595287;4907973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595334;14265083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402362;102013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402357;6894;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
SRR22402334;325345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595325;45588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402373;179623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595322;5680179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595328;4926769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402294;861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595318;12781380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595327;5592539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595299;8433664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
