Sample;Bamfordvirae;Loebvirae;Shotokuvirae;Orthornavirae;Heunggongvirae;Sangervirae;Viridiplantae;Pararnavirae;Zilligvirae;Metazoa;Fungi
SRR15595321;0;0;0;0;0;0;13;0;0;24385542;0
SRR15595249;0;0;1;0;0;5;8;0;0;492;0
SRR22402358;0;373;0;0;129104;5;12;0;0;4166;0
SRR22402261;0;2537;66;5;467346;4054;23;0;0;13774;2
SRR22402276;0;4500;285;1;1538490;306;42;0;0;9227;14
SRR22402269;0;11155;273;20;750640;342;0;0;0;19288;12
SRR15595311;0;0;12;0;0;81;8336;0;0;24815;6225
SRR15595256;0;0;0;0;0;0;11;2;0;20728976;0
SRR22402370;3;16631;2;8;430983;428;109;0;0;17165;0
SRR15595269;0;0;0;0;0;79;591;0;0;4797;18140
SRR22402364;1;4145;48;6;547950;399;29;0;0;16836;0
SRR15595246;0;11;35;1;0;0;228;0;0;2250;23
SRR22402346;2;830;0;4;525769;2750;12;0;0;4547;0
SRR22402298;0;9604;71;6;581635;2770;205;0;0;1508620;0
SRR22402270;0;7767;107;8;683049;199;11;0;0;12733;0
SRR22402296;2;17034;92;5;671362;1659;39;0;0;39422;0
SRR22402302;0;4375;15;0;3052604;505;50;0;0;8999;15
SRR22402288;32;11866;71;3;700905;245;21;0;0;35749;0
SRR22402284;0;1380;0;0;336866;1154;47;0;0;80164;24
SRR22402382;0;30707;0;23;877932;490;44;0;0;98308;0
SRR15595271;0;0;1;0;0;1;227;0;0;1248;47
SRR22402329;7;9208;0;7;220851;78;0;0;0;9201;0
SRR15595247;0;0;0;0;0;0;0;0;0;7419986;0
SRR22402348;14;4119;0;1;308334;121;5;0;0;4613;5
SRR22402283;0;5115;8;0;1126427;3841;602;0;0;137299;36
SRR15595342;0;0;0;0;0;0;0;0;0;7745400;0
SRR15595289;0;0;3;0;0;37;211;0;0;25369;16
SRR22402278;95;11706;166;13;721659;3122;76;0;0;160928;164
SRR22402265;0;4171;99;6;464384;2763;3;1;0;384330;0
SRR22402281;1;37166;241;28;876284;4261;299;0;0;109227;10
SRR15595324;0;0;0;0;0;0;7;3;0;21122688;0
SRR22402280;43;28481;104;11;1087771;2022;176;0;0;24239;1694
SRR22402275;3;5991;0;1;1975557;104;6;0;0;33364;0
SRR15595337;0;0;0;0;0;0;6;0;0;7929523;0
SRR15595251;0;0;0;0;0;0;22;1;0;6980099;0
SRR22402285;11;9499;36;1;920598;3632;59;0;0;37858;13
SRR15595352;0;0;0;0;0;0;2;1;0;6572020;0
SRR22402254;1;27047;0;8;2355547;248;11;0;0;34387;0
SRR22402347;1;6014;0;2;424172;72;9;0;0;9184;0
SRR22402277;11;14748;373;47;1341383;1763;230;0;0;61259;147
SRR22402292;0;247;1;3;149583;92;5;0;0;4066;0
SRR22402374;20;17268;98;6;660496;510;0;0;0;13933;63
SRR22402377;6;8348;230;17;619620;1024;1754;0;0;157196;26
SRR22402310;2;14512;6;21;512247;1229;9;0;0;2766;12
SRR22402319;2;10527;49;14;644378;1086;45;0;0;13461;199
SRR22402264;0;2764;118;73;1813031;4768;356;0;0;533285;22
SRR22402381;0;3541;13;12;309884;2067;10;0;0;103348;12
SRR15595279;0;0;6;22;0;11;245;0;0;4131;28
SRR22402368;2;6215;16;0;639649;984;14;0;0;5306;0
SRR22402369;0;5063;2;3;1501381;303;9;0;0;66349;23
SRR15595345;0;0;0;0;0;0;0;1;0;8601525;0
SRR22402300;13;15936;128;3;549456;473;21;0;0;1926;0
SRR15595245;0;0;13;0;0;12;1804;0;0;6324;0
SRR22402271;5;17984;3;14;1247843;350;37;0;0;128178;747
SRR22402353;208;8239;148;4;726275;637;21;0;0;30112;183
SRR15595317;0;0;1;0;0;0;0;1;0;5674098;2
SRR15595293;3;0;93;0;0;76;1449;0;0;32177;0
SRR22402356;0;721;7;2;158128;337;187;0;0;14447;0
SRR22402332;1;8129;66;14;559842;1091;0;0;0;78601;0
SRR22402295;136;26790;0;19;904151;2065;28;0;0;15903;0
SRR15595303;0;0;3;0;0;4;44;0;0;289;0
SRR22402379;0;2707;38;5;108753;210;277;0;0;29213;54
SRR22402304;1;4895;57;3;306153;75;147;0;0;30226;0
SRR22402350;0;4411;9;20;818371;4008;0;0;0;10414;9
SRR22402268;0;2346;0;8;741169;488;37;0;0;155282;4233
SRR22402297;0;4464;63;43;1187112;416;92;1;0;35679;0
SRR22402317;0;7194;10;8;470117;429;10;0;0;2445;0
SRR15595353;0;0;0;1;0;0;0;0;0;6739462;0
SRR15595257;0;0;1;0;0;380;10;0;0;588;0
SRR15595248;0;0;0;0;0;87;151;0;0;7977;0
SRR15595305;0;0;0;0;0;0;49;0;0;796;46
SRR22402349;0;3616;0;0;148269;419;1;0;0;3917;0
SRR22402273;1;9004;51;15;1061766;540;28;0;0;199736;0
SRR15595329;0;0;3;0;0;0;0;1;0;4932958;0
SRR22402314;253;22448;10;9;454543;1739;212;0;0;5732;0
SRR22402321;15;13753;15;0;724281;1267;56;0;0;5193;0
SRR22402322;1;68023;5;7;1269263;289;360;0;0;47030;530
SRR22402259;101;5790;0;6;682930;2286;688;0;0;59107;11
SRR15595336;0;0;0;0;0;0;4;2;0;17632843;0
SRR22402352;0;1478;76;54;289586;882;310;0;0;13081;0
SRR15595253;0;0;1;2;0;0;806;0;0;2168;42942
SRR22402263;1;5553;5;8;590897;372;0;0;0;19570;0
SRR22402312;3;5353;0;2;563887;970;54;0;0;14276;0
SRR22402335;0;5147;20;1;576610;1238;55;0;0;5197;0
SRR22402384;0;3969;0;7;263276;314;46;0;0;8154;0
SRR22402267;37;10337;2;3;798645;3273;225;0;0;48859;120
SRR22402293;8;1793;36;0;253406;420;95;0;0;30050;0
SRR15595255;0;0;0;0;0;2;368;0;0;733;73
SRR15595335;0;0;2;0;0;0;7;2;0;14401347;0
SRR22402371;2;101;0;0;20844;86;160;0;0;10980;6
SRR22402309;0;3967;28;8;687839;246;134;0;0;8862;60
SRR22402344;0;7032;2;28;695400;172;24;0;0;86026;5
SRR22402306;0;1436;4;5;276399;231;0;0;0;36670;6
SRR15595267;0;1;0;0;0;83;10;0;0;10582;27
SRR22402367;0;3168;43;0;403344;35;85;0;0;17546;0
SRR15595347;0;0;0;0;0;0;0;0;0;6228664;0
SRR15595254;0;0;6;0;0;38;209;0;0;734;1138
SRR15595339;0;0;0;0;0;0;0;0;0;12918275;0
SRR15595277;0;1;0;0;0;0;561;0;0;696;158
SRR22402355;1;2139;1;2;623437;428;4;0;0;135945;0
SRR22402313;78;42068;46;17;995935;6588;40;0;0;316014;80
SRR22402365;2;2125;15;1;357425;1741;43;0;0;6522;0
SRR22402342;2;2192;2;19;2121609;1393;9;0;0;1787;0
SRR22402289;0;6172;1;1;515754;266;297;1;0;207198;0
SRR15595315;0;0;0;0;0;5;33;0;0;18546;0
SRR15595295;0;1;0;0;0;0;644;0;0;1587;4
SRR22402343;26;37992;72;33;701494;2527;119;0;0;130889;0
SRR22402320;0;11305;121;6;618526;499;32;0;0;4365;0
SRR15595351;0;0;0;0;0;30;5;1;0;10350009;0
SRR15595244;0;0;0;0;0;46;90;0;0;828;0
SRR22402326;0;7192;0;0;234285;455;177;0;0;11309;0
SRR22402282;0;2374;31;3;1543113;771;9;0;0;9860;34
SRR22402303;2;21766;8;8;457624;217;9;0;0;193203;125
SRR22402354;0;8448;21;3;260070;155;0;0;0;15746;309
SRR22402380;0;649;1;8;68637;420;6;0;0;157007;2063
SRR22402378;1;16330;8;15;637616;976;23;0;0;3519221;34
SRR22402301;7;24959;4;1;558676;453;121;0;0;44336;0
SRR22402333;1;6007;3;4;152881;48;6;0;0;15100;36
SRR15595259;0;0;4;2;0;142;330;0;0;40182;28119
SRR22402256;0;2711;95;1;343653;69;3;0;0;3947;0
SRR22402272;0;2136;0;0;2217764;982;17;1;0;1597317;0
SRR22402260;0;7042;832;0;639301;171;13;0;0;1679;0
SRR22402372;10;221;0;0;754764;337;279;0;0;6099;124
SRR15595332;0;0;0;0;0;0;1;0;0;13385106;0
SRR15595349;0;0;0;0;0;0;5;1;0;8706426;0
SRR22402324;3;3941;31;4;338549;600;77;0;0;3096;0
SRR22402279;6;1527;12;5;482463;152;8;0;0;2675;1
SRR15595273;4;0;38;0;0;79;444;0;0;38471;8974
SRR22402286;0;5207;234;5;543657;6209;34;0;0;77788;0
SRR15595331;0;0;0;0;0;0;8;1;0;12697380;0
SRR15595291;0;0;0;0;0;0;11;0;0;5813005;6
SRR15595330;0;0;0;0;0;13;1850;0;0;1037;0
SRR22402383;0;3266;9;0;668419;151;161;0;0;1505;2216
SRR22402262;3;4515;653;4;1474785;12282;518;0;0;251404;23
SRR22402316;2;9325;6;2;349263;212;0;0;0;150450;0
SRR22402361;1;6735;27;13;663143;860;43;0;0;5532;22
SRR22402266;2;2466;0;2;288189;100;33;0;0;19104;0
SRR22402331;1;445;0;0;229566;903;2;0;0;904977;0
SRR22402311;12;11943;25;9;601405;525;92;0;0;51969;0
SRR15595343;0;0;5;0;0;0;5;0;0;15817643;0
SRR15595252;0;0;1;0;0;7;13;0;0;21642;0
SRR15595344;0;0;0;0;0;0;1;0;0;5349800;0
SRR22402337;0;483;81;0;174275;1;18;0;0;34295;0
SRR15595346;0;0;0;0;0;0;0;1;0;8280696;0
SRR15595297;0;0;1;0;0;1;0;0;0;812;230
SRR22402376;37;15436;2;8;361012;1713;4;0;0;6661;0
SRR22402345;69;6208;14;4;1247929;4404;0;0;0;2537;0
SRR22402257;0;8772;17;2;1197674;5266;111;0;0;5521;14
SRR15595326;0;0;0;0;0;0;1;0;0;6177279;0
SRR22402338;0;6251;51;7;613398;2217;167;0;0;100803;23
SRR15595265;1;0;0;0;0;0;487;0;0;926;163
SRR15595309;0;1;0;0;0;1;14;0;0;216129;0
SRR15595281;0;0;4;0;0;2;59;0;0;65507;0
SRR22402307;0;1731;1;5;150471;43;7;0;0;48738;0
SRR22402318;12;5505;29;2;538107;5183;127;0;0;14332;0
SRR22402323;117;27923;71;100;591150;1840;132;0;0;26717;0
SRR15595263;0;0;0;0;0;0;1;0;0;10482786;0
SRR22402299;802;18173;29;10;1597537;2060;35;0;0;5447;0
SRR22402336;0;5366;8;4;123898;1364;0;0;0;320276;0
SRR15595338;0;0;0;0;0;0;3;0;0;7290071;0
SRR22402290;0;6747;45;7;505852;210;119;0;0;19611;0
SRR15595283;0;0;0;0;0;17;5;0;0;8961;99
SRR22402305;0;1324;16;1;164511;63;41;0;0;331839;33
SRR15595350;0;177;0;0;0;15;0;0;0;1478;0
SRR22402341;1;2397;2;24;243571;1039;1;0;0;222161;0
SRR22402255;73;3662;64;3;533425;237;245;0;0;10903;0
SRR22402359;0;2474;3;6;666059;346;5;0;0;294690;0
SRR15595301;7;0;0;0;0;18;1322;0;0;562;3
SRR22402287;0;57067;236;4;979103;3718;35;1;0;8303;194
SRR22402325;8;74096;14;2;873639;3439;377;0;0;376985;282
SRR15595250;0;0;0;0;0;4;56;0;0;13904;57
SRR15595285;0;0;1;0;0;18;2024;0;0;2858;98
SRR22402258;0;1320;0;2;147550;1691;23;0;0;3965;0
SRR15595348;0;0;0;0;0;0;0;0;0;5475990;0
SRR22402339;19;7798;2;6;592551;1343;11;0;0;31105;0
SRR22402340;0;4462;249;12;360228;3956;21;0;0;47677;462
SRR22402375;0;1525;0;1;104607;433;22;0;0;2920;15
SRR22402385;45;11467;5;7;641879;609;15;0;0;1293211;0
SRR22402274;0;9349;1;0;169277;199;98;0;0;28073;9
SRR22402330;0;8432;10;10;657587;1513;110;0;0;383075;0
SRR22402327;8;4790;74;1;297510;270;3;0;0;12770;0
SRR15595340;0;0;43;0;0;25;2;0;0;10926212;0
SRR22402308;0;5691;2;17;1574457;11105;60;0;0;720344;0
SRR22402360;0;7969;0;26;897544;712;202;0;0;584357;0
SRR15595261;0;0;1;0;0;0;9;0;0;17410;0
SRR15595319;0;2;1;0;0;11;23;0;0;1025;0
SRR15595313;0;1;0;0;0;2;14;0;0;661;2
SRR15595307;0;0;0;0;0;0;2572;0;0;2521;10332
SRR15595341;0;0;0;0;0;2;401;0;0;1340;127
SRR22402291;0;27551;1;12;1705312;361;27;0;0;161561;0
SRR15595333;0;0;0;0;0;0;2;0;0;13948849;0
SRR15595320;0;0;3;0;0;0;4;0;0;11185457;0
SRR22402315;0;24717;2;3;469786;2463;211;0;1;1808;4
SRR22402363;5;4160;367;0;648977;28;30;0;0;938;0
SRR22402328;8;2568;2;9;427592;226;28;0;0;110006;0
SRR22402366;0;4613;3;4;603537;4502;3;0;0;22425;0
SRR15595323;0;0;0;0;0;0;4;0;0;7303630;0
SRR15595275;0;4;4;1;0;177;3;0;0;29951;0
SRR22402351;83;16993;2;10;417025;254;12;0;0;28633;0
SRR15595287;0;0;0;0;0;0;0;0;0;5024559;0
SRR15595334;0;0;0;0;0;0;0;1;0;14549889;9
SRR22402362;5;4458;3;3;131683;2439;15;0;0;103691;0
SRR22402357;0;1184;2;3;516023;745;4;0;0;7071;0
SRR22402334;1;1801;39;0;226521;122;17;0;0;329609;206
SRR15595325;0;0;0;0;0;0;10;0;0;46596;0
SRR22402373;0;630;184;0;419388;1728;42;0;0;183099;4
SRR15595322;0;0;0;0;0;0;2;0;0;5794936;0
SRR15595328;0;0;0;0;0;0;0;0;0;5044718;0
SRR22402294;14;5362;66;0;1564200;8900;299;0;0;1034;9
SRR15595318;0;0;0;0;0;0;0;0;0;13087722;0
SRR15595327;0;0;0;0;0;0;0;0;0;5723395;0
SRR15595299;0;0;0;0;0;0;1;0;0;8602802;0
