Sample;Catarrhini;Platyrrhini;Odontoceti;Mysticeti;Heteroneura
SRR15595321;23406398;1099;0;0;0
SRR15595249;306;0;0;0;0
SRR22402358;3952;0;0;0;0
SRR22402261;13200;0;0;0;0
SRR22402276;8022;0;0;0;0
SRR22402269;18318;0;0;0;0
SRR15595311;22834;18;0;0;0
SRR15595256;19960660;540;0;0;0
SRR22402370;16433;0;0;0;0
SRR15595269;4315;0;0;0;0
SRR22402364;15262;0;0;0;0
SRR15595246;1808;0;0;0;0
SRR22402346;4134;0;0;0;0
SRR22402298;1450106;109;0;0;0
SRR22402270;11793;1;0;0;0
SRR22402296;37005;4;0;0;0
SRR22402302;8485;0;0;0;1
SRR22402288;33407;0;0;0;0
SRR22402284;77424;3;0;0;0
SRR22402382;94532;12;0;0;0
SRR15595271;1117;0;0;0;0
SRR22402329;8881;0;0;0;0
SRR15595247;7113704;201;0;0;0
SRR22402348;4378;0;0;0;0
SRR22402283;131552;19;1;0;0
SRR15595342;7423132;368;0;0;0
SRR15595289;23528;14;0;0;0
SRR22402278;154773;0;0;0;0
SRR22402265;373071;0;0;0;0
SRR22402281;104161;25;0;0;0
SRR15595324;20292244;899;0;0;0
SRR22402280;22644;0;0;0;0
SRR22402275;32320;0;0;0;0
SRR15595337;7606848;353;0;0;0
SRR15595251;6650567;339;0;0;0
SRR22402285;35535;17;0;0;0
SRR15595352;6301043;219;0;0;0
SRR22402254;32848;0;0;0;0
SRR22402347;8238;0;0;0;0
SRR22402277;56938;0;0;0;0
SRR22402292;3793;0;0;0;0
SRR22402374;12905;0;0;0;0
SRR22402377;150137;20;0;0;0
SRR22402310;2191;0;0;0;0
SRR22402319;12370;0;0;0;0
SRR22402264;513261;56;0;0;0
SRR22402381;99991;13;0;0;0
SRR15595279;3416;15;0;0;0
SRR22402368;4909;0;1;0;0
SRR22402369;63894;0;0;0;0
SRR15595345;8213234;262;0;0;0
SRR22402300;1556;0;0;0;0
SRR15595245;5588;4;0;0;0
SRR22402271;124024;14;0;0;0
SRR22402353;28054;0;0;0;0
SRR15595317;5437975;242;0;0;0
SRR15595293;29796;5;0;0;0
SRR22402356;13789;0;0;0;0
SRR22402332;75642;11;0;0;0
SRR22402295;13814;0;0;0;0
SRR15595303;164;0;0;0;0
SRR22402379;26188;0;0;0;0
SRR22402304;28967;0;2;0;0
SRR22402350;9658;0;0;0;0
SRR22402268;149624;6;0;0;0
SRR22402297;33968;0;0;0;0
SRR22402317;1884;0;0;0;0
SRR15595353;6476235;280;0;0;0
SRR15595257;446;0;0;0;0
SRR15595248;7153;4;0;0;0
SRR15595305;567;0;0;0;0
SRR22402349;3626;0;0;0;0
SRR22402273;192845;8;0;0;0
SRR15595329;4730738;235;0;0;0
SRR22402314;4648;0;0;0;0
SRR22402321;4438;0;0;0;0
SRR22402322;43590;4;3;0;0
SRR22402259;56482;0;0;0;0
SRR15595336;16858284;756;0;0;0
SRR22402352;12574;0;0;0;0
SRR15595253;1603;0;0;0;0
SRR22402263;18620;0;0;0;0
SRR22402312;12990;0;0;0;0
SRR22402335;4803;0;0;0;0
SRR22402384;7710;1;0;0;0
SRR22402267;46477;0;0;0;0
SRR22402293;28274;0;0;0;0
SRR15595255;518;0;0;0;0
SRR15595335;13762212;658;0;0;0
SRR22402371;10188;2;0;0;0
SRR22402309;8148;0;0;0;0
SRR22402344;82712;0;0;0;0
SRR22402306;35135;0;0;0;0
SRR15595267;9386;3;0;0;0
SRR22402367;16617;0;0;0;0
SRR15595347;6012917;276;0;0;0
SRR15595254;566;0;0;0;0
SRR15595339;12344322;607;0;0;0
SRR15595277;403;0;0;0;0
SRR22402355;131177;5;1;0;0
SRR22402313;304271;36;0;0;0
SRR22402365;6148;0;0;0;0
SRR22402342;1359;0;0;0;0
SRR22402289;198667;0;0;0;0
SRR15595315;17513;0;0;0;0
SRR15595295;1435;0;0;0;0
SRR22402343;126028;25;0;0;0
SRR22402320;4014;0;0;0;0
SRR15595351;9936924;685;0;0;0
SRR15595244;617;0;0;0;0
SRR22402326;10847;0;0;0;0
SRR22402282;9261;0;2;0;0
SRR22402303;185867;21;0;0;0
SRR22402354;14642;0;0;0;0
SRR22402380;151242;0;0;0;0
SRR22402378;3411864;175;0;0;0
SRR22402301;40992;8;0;0;0
SRR22402333;14387;0;0;0;0
SRR15595259;37622;0;0;0;0
SRR22402256;3650;0;0;0;0
SRR22402272;1550993;87;0;0;0
SRR22402260;1484;0;0;0;0
SRR22402372;5193;0;0;0;0
SRR15595332;12844585;328;0;0;0
SRR15595349;8396962;226;0;0;0
SRR22402324;2752;0;0;0;0
SRR22402279;2378;0;0;0;0
SRR15595273;32713;0;0;0;0
SRR22402286;75303;5;0;0;0
SRR15595331;12196084;386;0;0;0
SRR15595291;5573414;501;0;0;0
SRR15595330;818;0;0;0;0
SRR22402383;1350;0;0;0;0
SRR22402262;242404;0;0;0;0
SRR22402316;145424;23;0;0;0
SRR22402361;4855;0;0;0;0
SRR22402266;18073;2;0;1;0
SRR22402331;873076;66;0;0;0
SRR22402311;48860;14;0;0;0
SRR15595343;15179336;627;0;0;0
SRR15595252;20365;0;0;0;0
SRR15595344;5160697;249;0;0;0
SRR22402337;33074;2;0;0;0
SRR15595346;7971730;340;0;0;0
SRR15595297;686;0;0;0;0
SRR22402376;6214;0;0;0;0
SRR22402345;2163;0;0;0;0
SRR22402257;4155;0;0;0;0
SRR15595326;5942588;258;0;0;0
SRR22402338;96620;3;0;0;0
SRR15595265;764;0;0;0;0
SRR15595309;202062;83;0;0;0
SRR15595281;62301;4;0;0;0
SRR22402307;46808;0;0;0;0
SRR22402318;13424;0;0;0;0
SRR22402323;24987;5;0;0;0
SRR15595263;10026999;445;0;0;0
SRR22402299;3917;0;0;0;0
SRR22402336;310876;0;0;0;0
SRR15595338;6945166;208;0;0;0
SRR22402290;18860;0;0;0;0
SRR15595283;5732;0;0;0;0
SRR22402305;317721;11;0;0;0
SRR15595350;1245;0;0;0;0
SRR22402341;215439;12;0;0;0
SRR22402255;10290;0;0;0;0
SRR22402359;283744;21;0;0;0
SRR15595301;233;0;0;0;0
SRR22402287;7178;0;0;0;0
SRR22402325;361229;11;0;0;0
SRR15595250;12958;0;0;0;0
SRR15595285;2580;0;0;0;0
SRR22402258;3589;0;0;0;0
SRR15595348;5246748;199;0;0;0
SRR22402339;29443;0;0;0;0
SRR22402340;46113;0;0;0;0
SRR22402375;2727;0;0;0;0
SRR22402385;1236678;101;0;0;0
SRR22402274;26148;0;0;0;0
SRR22402330;371399;20;0;0;0
SRR22402327;12080;0;0;0;0
SRR15595340;10443410;703;0;0;0
SRR22402308;693356;46;0;0;0
SRR22402360;557581;40;0;0;0
SRR15595261;16506;5;0;0;0
SRR15595319;850;0;0;0;0
SRR15595313;422;0;0;0;0
SRR15595307;2027;0;0;0;0
SRR15595341;1156;0;0;0;0
SRR22402291;153301;18;0;0;0
SRR15595333;13302759;604;0;0;0
SRR15595320;10703080;524;0;0;0
SRR22402315;1088;0;0;0;0
SRR22402363;624;0;0;0;0
SRR22402328;105783;7;0;0;0
SRR22402366;21283;0;0;0;0
SRR15595323;6986612;320;0;0;0
SRR15595275;28184;0;0;0;0
SRR22402351;27245;0;0;0;0
SRR15595287;4810495;214;0;0;0
SRR15595334;13932325;610;0;0;0
SRR22402362;99538;0;0;0;0
SRR22402357;6778;0;0;0;0
SRR22402334;319621;0;0;0;0
SRR15595325;44125;11;0;0;0
SRR22402373;175360;0;0;0;0
SRR15595322;5544978;282;0;0;0
SRR15595328;4820456;221;0;0;0
SRR22402294;835;1;0;0;0
SRR15595318;12529586;578;0;0;0
SRR15595327;5471108;249;0;0;0
SRR15595299;8254243;366;0;0;0
