Sample;Thermotogae;Thermodesulfobacteria;Acidobacteria;Fusobacteria;Synergistetes;Euryarchaeota;Spirochaetes;Coprothermobacterota;Proteobacteria;Dictyoglomi;Deferribacteres;Elusimicrobia;Nitrospirae;Chrysiogenetes;Aquificae;Candidatus Thermoplasmatota;Calditrichaeota;Pisuviricota;Chlamydiae;Streptophyta;Fibrobacteres;Gemmatimonadetes;Phixviricota;Uroviricota;Armatimonadetes;Tenericutes;Deinococcus-Thermus;Kiritimatiellaeota;Chloroflexi;Actinobacteria;Verrucomicrobia;Planctomycetes;Hofneiviricota;Cressdnaviricota;Firmicutes;Artverviricota;Lentisphaerae;Crenarchaeota;Taleaviricota;Nitrospinae;Nucleocytoviricota;Chlorophyta;Caldiserica;Preplasmiviricota;Peploviricota;Fornicata;Cossaviricota;Kitrinoviricota;Evosea;Candidatus Cryosericota;Negarnaviricota;Duplornaviricota;Bacteroidetes;Ignavibacteriae;Cyanobacteria;Balneolaeota;Chlorobi;Candidatus Saccharibacteria;Rhodothermaeota;Oomycota;Candidatus Melainabacteria;Apicomplexa;Ciliophora;Porifera;Ascomycota;Basidiomycota;Cnidaria
SRR22402297;46;13;36;27;220;66;36;1;313261;0;0;0;0;1;3;0;0;43;3;92;6;28;416;1187112;1;8;106;0;59;158263;201;5;4464;63;11378195;1;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40236706;1;94;0;0;63;1;0;0;0;0;0;0;0;0
SRR22402317;133;0;20;275;3762;30453;250;1;405849;0;0;0;0;0;4;0;0;8;0;10;22;31;429;470117;30;202;64;5;66;296418;726;23;7194;10;9029050;0;17921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11196414;2;91;0;4;102;0;0;0;0;0;0;0;0;0
SRR15595353;0;0;0;0;0;5;1;0;7955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1534;0;0;0;0;3708;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;826;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595257;79;0;71;112;4967;57590;51;1;353847;4;1;1;0;0;3;0;0;0;0;10;3;18;380;250;16;306;146;0;34;1508569;62008;2;0;0;6883329;0;99;322;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3183593;1;44;0;8;105;2;0;0;0;0;0;0;0;0
SRR15595248;36;4;0;42;73;46;40;0;67025;0;4;0;0;0;2;0;0;0;9;147;2;0;87;504;2;163;40;0;46;856938;62391;1;0;0;4599960;0;4;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;479426;0;24;0;6;0;1;0;0;0;0;0;0;0;0
SRR15595305;14;0;13;43;36;14512;48;3;87660;0;0;0;0;0;0;0;0;0;1;49;2;2;0;34475;15;73;43;1;16;275325;608;9;0;0;3165601;0;39;180;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1003613;1;28;1;4;31;2;0;1;0;0;0;45;0;0
SRR22402349;5;11;1;21461;19;32;33;0;431232;0;1;0;0;0;22;0;0;0;0;1;16;6;419;148269;4;33;31;0;8;104269;276;1;3616;0;2624193;0;6663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28344840;2;14;0;2;48;0;0;0;0;0;0;0;0;0
SRR22402273;147;2;8;268;540432;251;201;0;1795253;0;5;0;0;0;0;0;0;15;1;28;2;41;540;1061766;4;336;115;0;1;3600462;983;51;9004;51;27782400;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;55383952;3;158;1;1;335;0;0;0;0;0;0;0;0;0
SRR15595329;0;0;0;0;0;0;0;0;4631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;905;15;1;0;0;2815;1;0;29;0;0;0;0;0;0;1;0;3;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402314;47;61;160;546;49706;35499;764;0;648976;0;84;1;8;13;5;10;0;9;569;212;13;51;1739;454543;44;1287;289;12;81;573956;801013;36;22448;10;12181739;0;40912;0;0;0;0;0;0;253;0;0;0;0;0;0;0;0;21558748;4;675;0;14;453;3;0;0;0;0;0;0;0;0
SRR22402321;96;0;18;642;208;99;701;1;1105244;0;5;2;2;2;13;0;0;0;2;56;59;21;1267;724281;6;154;132;0;127;1508934;2020829;56;13753;15;19744688;0;270;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;29918814;0;196;1;3;134;0;0;4;0;0;0;0;0;0
SRR22402322;106;266;124;691;22453;84186;612;0;520819;1;6;2;2;53;13;0;0;6;14;360;27;240;289;1269263;155;1394;798;0;199;2594329;747579;192;68023;5;9416565;0;44649;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;16048376;2;447;12;22;32;5;0;3;0;0;0;493;13;0
SRR22402259;37;0;73;104;232;50419;371;3;301731;0;104;0;0;2;12;0;0;6;53;688;29;183;2286;682928;15;468;106;4;93;219259;431168;89;5790;0;9897589;0;3265;0;0;0;0;0;0;101;2;0;0;0;0;0;0;0;13969434;1;100;1;6;76;0;0;3;0;0;0;6;0;0
SRR15595336;0;0;0;0;0;22;1;0;26296;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;3984;0;7;0;0;9998;2;0;135;0;0;0;0;0;0;10;0;0;0;0;0;0;0;138;0;1;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402352;26;0;7;295;98;38;94;0;683374;0;0;2;0;0;3;0;0;54;0;310;1;36;882;289586;1;9;132;0;25;855242;181644;2;1478;76;15130485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26613995;0;68;1;0;430;0;0;0;0;0;0;0;0;0
SRR15595253;16;0;8;32;6;297;49;3;567838;0;0;0;0;1;2;0;0;0;1;806;3;1;0;164;3;23;36;0;1;11565728;724;4;0;0;8740682;0;4;173;0;0;0;0;0;0;0;0;1;0;0;0;0;2;124628;0;12;1;0;1234;1;0;0;0;0;0;42942;0;0
SRR22402263;61;0;26;172;4606;53;22;0;195501;0;2;0;0;6;19;0;0;8;4;0;46;16;372;590897;233;155;123;0;37;221175;866128;7;5553;5;6739292;0;133579;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;11733840;1;95;0;8;60;0;0;0;1;0;0;0;0;0
SRR22402312;26;2;26;103;157;2;88;0;94100;0;0;0;0;0;0;1;0;2;0;54;6;16;970;563887;8;122;80;3;19;93868;494;4;5353;0;9182338;0;134148;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;16072748;0;23;0;0;33;0;0;0;0;0;0;0;0;0
SRR22402335;20;0;24;46;39;17;30;0;244366;0;0;0;0;0;2;0;0;1;1;55;17;0;1238;576610;1;6;50;0;26;763357;58;3;5147;20;8777166;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;12018760;0;33;1;0;69;1;0;0;0;0;0;0;0;0
SRR22402384;2;0;1;91885;0;0;14;0;310102;0;0;0;0;0;0;0;0;7;0;46;1;64;314;263276;0;2;72;0;6;258656;55;0;3969;0;4876455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21553582;0;17;0;0;36;0;0;0;0;0;0;0;0;0
SRR22402267;22;0;46;126;60;18;121;1;657237;0;2;0;1;0;2;1;0;3;1;225;10;0;3273;798645;5;72;22;2;39;640666;7;7;10337;2;16793067;0;355;0;0;8;37;0;0;0;0;0;0;0;0;0;0;0;35908064;2;136;0;119;1997;0;1;1;0;0;0;120;0;0
SRR22402293;18;1;2;466;194;19;15;0;266047;0;9;1;0;0;2;0;0;0;0;95;6;6;420;253406;1;8;9;0;0;164825;88;0;1793;36;4883450;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;20261817;0;13;0;0;396;0;0;0;0;0;0;0;0;0
SRR15595255;25;1;5;43;30;398;18;2;139783;0;30;1;0;0;1;0;0;0;0;368;3;2;2;2193;7;11;48;1;22;2099473;605;6;0;0;10387772;0;18;179;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3885156;0;14;0;6;89;1;0;0;0;0;0;73;0;0
SRR15595335;0;0;0;0;0;22;4;0;26250;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;4109;34;10;0;0;11286;2;0;116;0;0;0;0;0;0;8;0;2;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402371;3;0;0;8;0;0;0;0;18565;0;0;0;0;0;0;0;0;0;0;160;0;0;86;20844;0;5;6;0;0;37264;0;0;101;0;1675607;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4485401;0;8;0;0;47;0;0;0;0;0;0;6;0;0
SRR22402309;60;0;18;81;150;276;279;0;937559;0;1;1;0;1;11;0;0;8;3;134;42;225;246;687839;5;46;104;0;12;623541;73377;14;3967;28;15173569;0;86;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;22353117;1;54;0;2;348;0;0;0;0;0;0;3;0;0
SRR22402344;157;6;79;2238;445;154306;155;0;523931;0;54;0;3;0;2;0;0;28;1;24;92;204;172;695400;50;441;228;2;71;549088;985;67;7032;2;11030806;0;6132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17852700;0;160;1;0;53;1;0;0;0;0;0;2;0;0
SRR22402306;16;0;14;8;59;20;22;0;4936641;0;3;1;0;0;6;0;0;5;1;0;9;15;231;276399;7;1;31;0;38;72228;308;5;1436;4;9726099;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21138696;0;26;0;1;0;0;0;0;0;0;0;5;0;0
SRR15595267;11;1;0;3;9;48;2;0;38878;0;0;0;0;0;1;0;0;0;0;10;1;1;83;595;0;5;3;0;15;248140;2388;0;1;0;2902866;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1158233;0;55;0;1;22;0;0;0;0;0;0;27;0;0
SRR22402367;4;0;1;43;10;2;10;0;1520021;0;1;0;0;0;0;0;0;0;0;85;0;0;35;403344;0;6;7;0;5;531173;2;1;3168;43;6728974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20009395;0;6;0;0;981;1;0;0;0;0;0;0;0;0
SRR15595347;0;0;0;0;0;6;0;0;7841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1672;0;0;0;0;4138;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;804;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595254;26;0;1;15;0;26;15;0;30577;0;7;0;0;0;0;0;0;0;0;209;0;0;38;672;0;8;2;0;3;1432850;237;0;0;0;4162638;0;0;58;0;0;0;0;1;0;0;0;6;0;0;0;0;0;50783;0;3;0;0;37;0;0;0;0;0;0;1138;0;0
SRR15595339;0;0;0;0;0;25;3;0;19583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3071;0;6;0;0;9338;0;0;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;753;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595277;27;0;0;26;7;194;19;1;73741;0;7;0;0;0;2;0;0;0;1;561;1;1;0;806;0;4;17;0;5;1915945;1203;1;1;0;6697396;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2180694;0;4;0;0;527;0;0;0;0;0;0;157;0;0
SRR22402355;26;1;55;2122;27287;16688;53;0;156314;0;28;0;1;3;1;0;0;2;0;4;25;7;428;623437;6;49;109;0;129;83056;23189;9;2139;1;8566912;0;3199;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13441880;83;300;1;2;359;0;0;4;0;0;0;0;0;0
SRR22402313;275;185;38;263;724;174360;300;0;1384179;0;0;1;5;0;1;0;0;15;12;40;202;195;6588;995935;445;383;548;3;216;889381;1506;55;42068;46;16995169;0;179096;0;0;4;0;0;0;78;0;0;0;2;0;0;0;0;21076367;0;435;0;11;219;0;0;0;0;0;0;44;0;0
SRR22402365;12;3;18;413;8682;40015;21;0;1418667;0;0;0;0;0;0;0;0;1;0;43;10;13;1741;357425;31;9;54;3;7;747444;130;0;2125;15;7580175;0;7135;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;25155878;1;50;0;0;197;0;0;0;0;0;0;0;0;0
SRR22402342;64;0;50;63;157;84;77;0;1058553;0;12;1;0;0;3;0;0;19;0;9;3;58;1393;2121609;157;59;157;9;64;4226955;1140;7;2192;2;11747684;0;12943;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;18646045;0;65;0;8;437;0;0;0;0;0;0;0;0;0
SRR22402289;92;0;19;153;242;576;80;0;257079;0;8;0;0;0;15;0;0;1;0;297;38;72;266;515753;14;81;69;0;11;839324;182284;4;6172;1;12033222;1;139755;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;16425930;0;56;0;0;299;0;0;0;0;0;0;0;0;0
SRR15595315;52;0;2;9;6;0;11;0;30535;0;0;0;0;1;0;0;0;0;0;33;0;0;5;23;0;1;18;0;11;995246;36;2;0;0;2881592;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;325769;0;4;0;1;38;0;0;0;0;0;0;0;0;0
SRR15595295;16;0;60;81;26;141;7;4;7887444;0;30;0;1;2;0;0;0;0;1;644;0;0;0;41;3;14;23;0;2;1034081;935;7;1;0;9631002;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197751;0;37;0;2;445;2;0;0;0;0;0;4;0;0
SRR22402343;187;210;114;319;11467;70066;204;0;461743;0;0;1;0;0;18;0;0;33;2;119;167;7;2527;701494;174;745;424;3;244;544069;1130073;3;37992;72;11226335;0;17390;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;13834531;2;451;1;2;199;6;0;0;0;0;0;0;0;0
SRR22402320;21;9;15;189;859;17161;294;0;398125;0;2;0;3;3;0;0;0;6;2;32;11;73;499;618526;11;158;109;0;39;357405;42606;0;11305;121;9712641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27775944;0;82;0;0;15;0;0;0;0;0;0;0;0;0
SRR15595351;0;0;0;0;0;0;8;0;8769;0;0;0;0;0;0;0;0;0;0;5;0;0;30;4;0;0;0;0;0;2657;0;2;0;0;8011;1;0;54;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1038;0;26;0;0;0;1;0;0;0;0;0;0;0;0
SRR15595244;20;0;9;22;32;31;2;2;85619;0;33;0;0;0;3;0;0;0;0;90;0;0;46;377;2;45;45;0;9;558599;40627;2;0;0;4151789;0;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1259236;3;23;0;0;218;0;0;0;0;0;0;0;0;0
SRR22402326;13;37;15;122;70;36;61;1;336360;0;3;0;0;0;5;0;0;0;0;177;4;3;455;234285;10;10;35;0;7;786689;108;4;7192;0;7176476;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16641150;0;30;0;1;58;0;0;0;0;0;0;0;0;0
SRR22402282;42;0;2;49;301;9;56;0;130627;0;0;0;0;16;36;1;0;3;0;9;170;0;771;1543113;0;25;118;0;2;490171;0;15;2374;31;18590075;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20790502;0;7;0;2;294;0;0;0;0;0;0;33;0;0
SRR22402303;42;52;81;3340;957;206;286;0;614218;0;0;1;0;17;72;0;0;8;0;9;187;111;217;457624;34;185;568;0;152;161123;57261;35;21766;8;10498229;0;47692;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;11579112;4;79;2;8;636;0;0;0;0;0;0;117;0;0
SRR22402354;14;0;17;156;112;65;56;0;476273;0;1;1;0;0;4;0;0;3;0;0;7;36;155;260070;1;10;93;0;35;440314;23117;11;8448;21;8773893;0;1487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19284213;4;33;0;1;57;1;0;0;0;0;0;309;0;0
SRR22402380;6;0;1;70;0;2;4;0;811177;0;0;0;0;0;1;0;0;8;0;6;4;0;420;68637;0;0;3;0;0;721890;18;2;649;1;7444231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23516834;0;14;0;0;391;0;0;0;0;0;0;2056;6;0
SRR22402378;46;56;30;845;208;50;207;0;674435;0;20;0;0;0;7;0;0;15;1;23;23;18;976;637616;9;137;247;1;176;3322050;83682;28;16330;8;14928842;0;1329450;0;0;101;1;0;0;0;0;0;0;0;0;0;0;0;25535866;1;122;0;0;129;0;0;0;0;0;0;0;15;0
SRR22402301;28;68;26;109;197;18535;145;0;445017;0;5;0;1;0;4;9;0;1;0;121;41;19;453;558676;11;52;284;5;71;279158;539915;8;24959;4;13248095;0;188907;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;16067897;0;78;0;6;236;1;9;1;0;0;0;0;0;0
SRR22402333;13;0;6;136;24;0;19;0;318338;0;0;0;0;0;1;0;0;4;0;6;1;2;48;152881;0;68;13;0;3;265443;0;9;6007;3;9641545;0;111;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;21201557;0;10;0;1;65;0;0;0;0;0;5;36;0;0
SRR15595259;18;0;1;57;0;41;5;0;634185;0;0;0;0;0;0;1;0;0;1;330;0;0;142;41;0;17;11;0;0;814721;151;0;0;4;5530126;0;0;33;0;0;0;0;1;0;0;0;0;0;0;0;0;2;277275;0;8;0;1;166;0;0;0;0;0;0;28119;0;0
SRR22402256;48;0;4;114;22;0;72;0;489529;0;0;0;0;0;1;0;0;1;0;3;44;0;69;343653;0;62;16;0;15;2132489;5067;13;2711;95;16695136;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14869264;1;39;0;0;96;1;0;1;0;0;0;0;0;0
SRR22402272;16;0;103;30443;82;16;64;0;2453990;0;0;1;0;13;108;0;0;0;2;17;236;0;982;2217763;1;231;270;0;24;2279170;790;35;2136;0;23487142;1;0;0;0;0;0;0;0;0;1;252;0;0;3;0;0;0;64901173;0;322;2;0;312;2;0;0;0;0;0;0;0;0
SRR22402260;66;0;30;184;128;10257;130;0;300396;0;2;0;0;0;9;0;0;0;0;13;10;9;171;639301;7;3;46;6;21;241341;158522;1;7042;832;11474228;0;283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10945242;0;34;0;5;121;0;0;1;0;0;0;0;0;0
SRR22402372;2;0;1;9410;204478;9034;8;0;1082120;0;1;0;0;0;1;0;0;0;1;279;1;214;337;754764;0;8;283;3;14;105921;193335;0;221;0;5826861;0;714;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;28592204;0;16;0;5;7;8;0;3;0;0;0;116;0;0
SRR15595332;0;0;0;0;0;3;2;0;14233;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3061;0;2;0;0;9597;0;0;90;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1748;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595349;0;0;0;0;0;6;6;0;12935;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2064;0;3;0;0;6727;1;0;117;0;0;0;0;0;0;4;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402324;42;1;63;19;50;33790;76;0;410640;0;0;0;0;1;1;3;0;2;0;77;11;20;600;338549;0;14;155;3;31;631438;680;1;3941;31;12635173;0;72612;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;18830131;0;38;0;14;39;0;0;0;0;0;0;0;0;0
SRR22402279;25;0;18;77;76;293;235;0;272935;0;0;0;3;4;12;0;0;5;0;8;37;6;152;482463;17;404;75;0;60;271889;52534;31;1527;12;4329245;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;6158907;0;163;0;1;81;0;0;10;0;0;0;1;0;0
SRR15595273;39;0;4;78;53;57;14;1;325723;0;0;0;2;0;0;2;0;0;1;444;2;0;79;207;0;7;6;0;1;992400;52772;2;0;2;4829188;0;7;38;0;1;4;0;0;0;1;0;36;0;0;0;0;0;343965;0;10;1;0;113;0;0;0;0;0;0;8973;0;0
SRR22402286;23;0;34;101;240;8;78;0;339188;0;1;0;0;0;0;0;0;5;0;34;12;5;6209;543657;4;100;19;0;83;287488;176860;1;5207;234;9466359;0;549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17631523;0;185;1;0;496;1;0;1;0;0;0;0;0;0
SRR15595331;0;0;0;0;0;0;1;0;15924;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;3114;0;0;0;0;9301;1;0;101;0;0;0;0;0;0;18;0;0;0;0;0;0;0;973;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595291;0;0;0;0;0;15;0;0;28266;0;0;0;0;0;0;0;0;0;1;11;0;0;0;3;0;0;0;0;0;8204;0;0;0;0;10698;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2599;0;15;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595330;1;0;1;14;49;142;6;0;148875;0;0;0;1;0;0;0;0;0;0;1850;2;0;13;114;1;3;8;0;6;449973;271;4;0;0;3737290;0;0;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1127725;1;7;1;1;89;0;0;0;0;0;0;0;0;0
SRR22402383;11;1;0;133;8;12;18;0;484510;0;0;0;0;0;0;0;0;0;0;161;1;2;151;668418;3;3;9;0;1;741966;51;0;3266;9;4471303;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;16697814;0;3;0;0;135;0;0;0;0;0;0;2216;0;0
SRR22402262;110;14;68;295;464;544;556;0;476263;0;169;0;0;8;289;1;0;4;0;518;141;29;12282;1474785;1;1453;661;21;431;417902;665619;22;4515;653;11875949;0;569977;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;10964329;0;171;0;7;633;3;0;3;0;0;0;11;0;0
SRR22402316;112;0;14;979;68;113;48;1;116919;0;0;0;2;0;2;0;1;2;0;0;2;81;212;349263;8;56;32;0;21;65185;57075;7;9325;6;6542561;0;23262;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;18632789;0;56;0;4;107;0;0;0;0;0;0;0;0;0
SRR22402361;95;0;52;118;527;192;443;0;730817;0;12;0;0;2;19;0;0;13;1;43;42;14;860;663143;269;181;208;2;141;589734;1222428;12;6735;27;13037828;0;4305;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13950008;0;272;0;32;76;1;0;1;0;0;0;20;0;0
SRR22402266;6;0;0;287;45;0;59;0;546451;0;0;0;1;0;0;0;0;2;1;33;1;0;100;288189;0;0;15;0;1;70097;2;0;2466;0;5802573;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;28475040;0;8;0;0;309;0;0;0;0;1;0;0;0;0
