Sample;Crustacea;Hexapoda;delta/epsilon subdivisions;Streptophytina;Polyploviricotina;Intramacronucleata;Ustilaginomycotina
SRR15595321;0;0;22;13;0;0;0
SRR15595249;0;0;2566;8;0;0;0
SRR22402358;5;0;324;12;0;0;0
SRR22402261;4;0;785;23;0;0;0
SRR22402276;0;5;14811;42;0;0;0
SRR22402269;17;6;112902;0;0;0;11
SRR15595311;0;0;171;8336;0;0;0
SRR15595256;0;0;11;11;0;0;0
SRR22402370;0;0;196920;109;0;0;0
SRR15595269;3;0;2758;591;0;0;0
SRR22402364;0;97;68713;29;0;0;0
SRR15595246;0;0;64498;228;1;0;0
SRR22402346;32;0;45311;12;0;0;0
SRR22402298;0;0;33797;205;0;0;0
SRR22402270;0;6;80192;11;0;0;0
SRR22402296;0;4;57720;38;0;0;0
SRR22402302;0;4;59338;50;0;0;0
SRR22402288;0;0;217852;21;0;0;0
SRR22402284;0;4;83401;47;0;0;0
SRR22402382;0;0;1366;44;0;0;0
SRR15595271;0;0;4439;227;0;0;0
SRR22402329;0;0;147213;0;0;1;0
SRR15595247;0;0;8;0;0;0;0
SRR22402348;0;0;51153;5;0;0;0
SRR22402283;0;5;219536;602;0;0;0
SRR15595342;0;0;0;0;0;0;0
SRR15595289;0;0;621;211;0;0;0
SRR22402278;0;148;177959;74;0;0;0
SRR22402265;0;0;143798;3;0;0;0
SRR22402281;0;0;138259;299;0;0;0
SRR15595324;0;0;28;7;0;0;0
SRR22402280;0;0;206240;176;0;0;0
SRR22402275;8;0;69964;6;0;0;0
SRR15595337;0;0;6;6;0;0;0
SRR15595251;0;0;0;22;0;0;0
SRR22402285;0;0;30743;58;0;0;0
SRR15595352;0;0;0;2;0;0;0
SRR22402254;0;0;136982;11;0;0;0
SRR22402347;0;0;4559;9;0;0;0
SRR22402277;52;12;88656;230;0;0;0
SRR22402292;0;0;154627;5;0;0;0
SRR22402374;10;8;437365;0;0;0;3
SRR22402377;0;47;62934;1754;0;0;0
SRR22402310;0;0;154070;9;0;0;0
SRR22402319;0;0;108165;45;0;0;0
SRR22402264;0;0;469697;356;0;0;0
SRR22402381;0;2;51051;10;0;0;0
SRR15595279;0;0;14624;239;0;0;0
SRR22402368;0;0;189740;14;0;0;0
SRR22402369;0;4;94858;9;0;0;0
SRR15595345;0;0;4;0;0;0;0
SRR22402300;0;0;63855;21;0;0;0
SRR15595245;0;0;10454;1804;0;0;0
SRR22402271;0;18;259240;37;0;0;0
SRR22402353;0;20;111405;19;0;0;0
SRR15595317;0;0;0;0;0;0;0
SRR15595293;0;0;556;1449;0;0;0
SRR22402356;0;0;64268;187;0;0;0
SRR22402332;0;0;275277;0;0;0;0
SRR22402295;0;59;62176;28;0;0;0
SRR15595303;1;1;14257;43;0;0;0
SRR22402379;21;0;48761;276;0;0;0
SRR22402304;0;0;7395;147;0;0;0
SRR22402350;0;4;359254;0;0;1;0
SRR22402268;2;0;121190;37;0;0;0
SRR22402297;0;0;7241;92;0;0;0
SRR22402317;0;0;217323;10;0;0;0
SRR15595353;0;0;50;0;0;0;0
SRR15595257;0;0;101885;10;0;0;0
SRR15595248;0;0;23855;147;0;0;0
SRR15595305;0;0;8317;49;0;0;0
SRR22402349;0;0;365937;1;0;0;0
SRR22402273;0;3;526371;28;0;0;0
SRR15595329;0;0;0;0;0;0;0
SRR22402314;0;28;220971;212;0;0;0
SRR22402321;26;0;261176;56;0;0;0
SRR22402322;0;0;305692;360;0;0;0
SRR22402259;0;0;104309;688;0;0;0
SRR15595336;0;0;18;4;0;0;0
SRR22402352;2;1;357167;310;0;0;0
SRR15595253;2;173;647;806;0;0;0
SRR22402263;0;0;38471;0;0;0;0
SRR22402312;0;0;74446;54;0;0;0
SRR22402335;0;0;91091;55;0;0;0
SRR22402384;0;0;99271;46;0;0;0
SRR22402267;4;11;203970;225;0;0;0
SRR22402293;0;0;5845;95;0;0;0
SRR15595255;0;0;9535;368;0;0;0
SRR15595335;0;0;16;7;0;0;0
SRR22402371;0;0;18194;160;0;0;0
SRR22402309;36;2;166318;134;0;0;0
SRR22402344;0;0;178231;24;0;0;0
SRR22402306;0;0;51212;0;0;0;0
SRR15595267;0;3;3432;10;0;0;0
SRR22402367;0;0;32450;85;0;0;0
SRR15595347;0;0;20;0;0;0;0
SRR15595254;0;0;1490;209;0;0;0
SRR15595339;0;0;38;0;0;0;0
SRR15595277;0;0;47284;561;0;0;0
SRR22402355;12;12;32966;4;0;0;0
SRR22402313;0;2;71562;40;0;0;0
SRR22402365;0;0;143262;43;0;0;0
SRR22402342;6;7;265868;9;0;0;0
SRR22402289;0;0;105702;297;0;0;0
SRR15595315;0;0;328;33;0;0;0
SRR15595295;0;0;1821;644;0;0;0
SRR22402343;0;5;181684;119;0;0;0
SRR22402320;0;0;113103;32;0;0;0
SRR15595351;0;0;10;5;0;0;0
SRR15595244;0;0;3368;90;0;0;0
SRR22402326;0;0;60362;177;0;0;0
SRR22402282;0;4;111528;9;0;0;0
SRR22402303;0;0;58950;9;0;0;0
SRR22402354;5;0;104923;0;0;0;0
SRR22402380;0;0;9366;6;0;0;6
SRR22402378;0;0;68599;23;0;0;15
SRR22402301;0;3;111848;121;0;0;0
SRR22402333;0;2;14625;6;0;0;0
SRR15595259;0;111;28;330;0;0;0
SRR22402256;0;2;193822;3;0;0;0
SRR22402272;0;0;737643;17;0;0;0
SRR22402260;0;0;40170;13;0;0;0
SRR22402372;0;3;105866;279;0;0;0
SRR15595332;0;0;9;1;0;0;0
SRR15595349;0;0;0;5;0;0;0
SRR22402324;0;0;93393;77;0;0;0
SRR22402279;0;1;120984;8;0;0;0
SRR15595273;0;0;566;444;0;0;0
SRR22402286;0;12;142222;34;0;0;0
SRR15595331;0;0;29;7;0;0;0
SRR15595291;0;0;94;11;0;0;0
SRR15595330;0;0;23961;1850;0;0;0
SRR22402383;0;0;115566;161;0;0;0
SRR22402262;0;93;161494;518;0;0;0
SRR22402316;0;0;5840;0;0;0;0
SRR22402361;2;8;107588;43;0;0;0
SRR22402266;0;5;132974;33;0;1;0
SRR22402331;0;0;81902;2;0;0;0
SRR22402311;57;31;74786;92;0;0;0
SRR15595343;0;0;13;5;0;0;0
SRR15595252;0;0;37762;13;0;0;0
SRR15595344;0;0;0;1;0;0;0
SRR22402337;0;9;346177;18;0;0;0
SRR15595346;0;0;0;0;0;0;0
SRR15595297;0;0;8378;0;0;0;0
SRR22402376;0;0;112185;4;0;0;0
SRR22402345;0;0;80820;0;0;0;0
SRR22402257;20;63;207412;111;0;0;0
SRR15595326;0;0;0;1;0;0;0
SRR22402338;0;0;307520;167;0;0;0
SRR15595265;0;0;5056;487;0;0;0
SRR15595309;0;0;326;14;0;0;0
SRR15595281;0;0;79766;59;0;0;0
SRR22402307;0;0;130167;7;0;0;0
SRR22402318;0;0;54696;127;0;0;0
SRR22402323;0;16;25477;132;0;0;0
SRR15595263;0;0;13;1;0;0;0
SRR22402299;0;70;81758;35;0;0;0
SRR22402336;0;0;1522;0;0;0;0
SRR15595338;0;0;0;3;0;0;0
SRR22402290;0;0;162178;119;0;0;0
SRR15595283;0;2652;11402;5;0;0;0
SRR22402305;0;0;1020;41;0;0;1
SRR15595350;0;0;55109;0;0;0;0
SRR22402341;0;0;1930;1;0;0;0
SRR22402255;23;0;65160;245;0;0;0
SRR22402359;0;7;68482;5;0;0;0
SRR15595301;0;0;109531;1322;0;0;0
SRR22402287;0;32;206775;35;0;0;0
SRR22402325;0;0;117449;377;0;0;0
SRR15595250;0;0;1750;56;0;0;0
SRR15595285;3;0;9498;2024;0;0;0
SRR22402258;0;0;33422;23;0;0;0
SRR15595348;0;0;5;0;0;0;0
SRR22402339;0;0;118748;11;0;0;0
SRR22402340;0;0;236559;21;0;0;0
SRR22402375;0;0;12337;22;0;0;0
SRR22402385;0;0;708309;15;0;0;0
SRR22402274;0;0;29385;98;0;0;0
SRR22402330;0;0;193878;110;0;0;0
SRR22402327;0;2;117141;3;0;0;0
SRR15595340;0;0;13;2;0;0;0
SRR22402308;0;7;345036;60;0;0;0
SRR22402360;0;0;50804;202;0;0;0
SRR15595261;0;0;30547;9;0;0;0
SRR15595319;0;0;518;23;0;0;0
SRR15595313;0;0;5236;14;0;0;0
SRR15595307;0;0;283;2572;0;0;0
SRR15595341;0;0;33073;401;0;0;0
SRR22402291;0;735;304740;27;0;0;0
SRR15595333;0;0;18;2;0;0;0
SRR15595320;0;0;0;4;0;0;0
SRR22402315;0;0;12153;211;0;0;0
SRR22402363;0;0;89088;30;0;0;0
SRR22402328;0;0;132948;28;0;0;0
SRR22402366;0;0;100618;3;1;0;0
SRR15595323;0;0;13;4;0;0;0
SRR15595275;0;0;7783;3;0;0;0
SRR22402351;0;0;322860;12;0;0;0
SRR15595287;0;0;0;0;0;0;0
SRR15595334;0;0;23;0;0;0;0
SRR22402362;0;0;106804;15;0;0;0
SRR22402357;3;2;151538;4;0;0;0
SRR22402334;0;0;67946;17;0;0;0
SRR15595325;0;0;0;10;0;0;0
SRR22402373;0;0;538548;42;0;0;3
SRR15595322;0;0;4;2;0;0;0
SRR15595328;0;0;0;0;0;0;0
SRR22402294;0;0;61449;299;0;0;0
SRR15595318;0;0;14;0;0;0;0
SRR15595327;0;0;10;0;0;0;0
SRR15595299;0;0;0;0;0;0;0
